,Name_and_model,Country,Engine,Engine_placement,Transmission,Weight_ratio,Bhp,Torque,Rarity
434,1997 Mazda RX-7,Japan,1.3L Twin-Turbocharged 2-Rotor Rotary,Front-Engined,6-speed Transmission, 50%/50%,280 bhp (209 kW), 231 lb⋅ft (313 N·m),Rare
435,2002 Mazda RX-7 Spirit R Type-A,Japan,1.3L Naturally-Aspirated 2-Rotor Rotary,Front-Engined,6-speed Transmission, 52%/48%,232 bhp (173 kW), 159 lb⋅ft (216 N·m),Rare
436,2011 Mazda RX-8 R3,Japan,1.3L Turbocharged 2-Rotor Rotary,Front-Engined,5-speed Transmission, 51%/49%,200 bhp (149 kW), 196 lb⋅ft (266 N·m),Epic
437,1990 Mazda Savanna RX-7,United Kingdom,3.8L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,562 bhp (419 kW), 443 lb⋅ft (600 N·m),Epic
438,2015 McLaren 570S Coup%C3%A9,United Kingdom,3.8L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 43%/57%,591 bhp (441 kW), 457 lb⋅ft (620 N·m),Epic
439,2018 McLaren 600LT Coup%C3%A9,United Kingdom,3.8L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 43%/57%,612 bhp (456 kW), 457 lb⋅ft (620 N·m),Epic
440,2021 McLaren 620R,United Kingdom,3.8L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,641 bhp (478 kW), 502 lb⋅ft (680 N·m),Epic
441,2015 McLaren 650S Coup%C3%A9,United Kingdom,3.8L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,641 bhp (478 kW), 500 lb⋅ft (678 N·m),Epic
442,2014 McLaren 650S Spider,United Kingdom,4.0L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,710 bhp (529 kW), 568 lb⋅ft (770 N·m),Epic
443,2018 McLaren 720S Coup%C3%A9,United Kingdom,4.0L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,711 bhp (530 kW), 567 lb⋅ft (769 N·m),Epic
444,2019 McLaren 720S Spider,United Kingdom,4.0L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 41%/59%,755 bhp (563 kW), 590 lb⋅ft (800 N·m),Epic
445,2021 McLaren 765LT,United Kingdom,6.1L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 41%/59%,627 bhp (468 kW), 480 lb⋅ft (651 N·m),Legendary
446,1993 McLaren F1,United Kingdom,6.1L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 41%/59%,618 bhp (461 kW), 480 lb⋅ft (651 N·m),Legendary
447,1997 McLaren F1 GT,United Kingdom,4.0L Twin-Turbocharged V8 (M840T),Mid-Engined,info_not_found, 43%/57%,611 bhp (456 kW), 464 lb⋅ft (629 N·m),Common
448,2020 McLaren GT,United Kingdom,3.8L Twin-Turbocharged Hybrid V81x Electric Motor,Mid-Engined,7-speed Transmission, 42%/58%,903 bhp (673 kW), 664 lb⋅ft (900 N·m),Legendary
449,2013 McLaren P1,United Kingdom,4.0L Twin-Turbocharged V8,Mid-Engined,7-speed Transmission, 42%/58%,789 bhp (588 kW), 590 lb⋅ft (800 N·m),Legendary
450,2018 McLaren Senna,United Kingdom,4.0L Twin-Turbocharged Hybrid V8,Mid-Engined,7-speed Transmission, 42%/58%,1036 bhp (773 kW), 847 lb⋅ft (1148 N·m),Epic
451,2019 McLaren Speedtail,Germany,4.0L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 53%/47%,503 bhp (375 kW), 516 lb⋅ft (700 N·m),Rare
452,2016 Mercedes-AMG C 63 S Coup%C3%A9,Germany,4.0L Twin-Turbocharged V8,Front-Engined,9-speed Transmission, 55%/45%,603 bhp (450 kW), 626 lb⋅ft (849 N·m),Epic
453,2018 Mercedes-AMG E 63 S,Germany,4.0L Twin-Turbocharged V8,Front-Engined,9-speed Transmission, 52%/48%,630 bhp (470 kW), 663 lb⋅ft (899 N·m),Epic
454,2018 Mercedes-AMG GT 4-Door Coup%C3%A9,Germany,4.0L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 47%/53%,577 bhp (430 kW), 516 lb⋅ft (700 N·m),Epic
455,2017 Mercedes-AMG GT R,Germany,4.0L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 47%/53%,503 bhp (375 kW), 479 lb⋅ft (650 N·m),Rare
456,2015 Mercedes-AMG GT S,Germany,1.6L Turbocharged Hybrid V6,Mid-Engined,8-speed Transmission, 49%/51%,877 bhp (654 kW), 535 lb⋅ft (725 N·m),Legendary
457,2021 Mercedes-AMG One,Germany,12.8L Turbocharged I6,Mid-Engined,10-speed Transmission, 60%/40%,1080 bhp (805 kW), 3685 lb⋅ft (4996 N·m),Epic
458,2015 Mercedes-Benz 24 Tankpool24 Racing Truck,Germany,12.8L Turbocharged I6,Mid-Engined,10-speed Transmission, 60%/40%,1080 bhp (805 kW), 3685 lb⋅ft (4996 N·m),Epic
459,2015 Mercedes-Benz 24 Tankpool24 Racing Truck,Germany,2.5L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 53%/47%,235 bhp (175 kW), 181 lb⋅ft (245 N·m),Rare
460,1990 Mercedes-Benz 190E 2.5-16 Evolution II,Germany,3.0L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 48%/52%,241 bhp (180 kW), 217 lb⋅ft (294 N·m),Legendary
461,1954 Mercedes-Benz 300 SL Coup%C3%A9,Germany,3.0L Naturally-Aspirated I8,Front-Engined,5-speed Transmission, 42%/58%,310 bhp (231 kW), 234 lb⋅ft (317 N·m),Legendary
462,1955 Mercedes-Benz 300 SLR,Germany,2.0L Turbocharged I4,Front-Engined,7-speed Transmission, 60%/40%,355 bhp (265 kW), 332 lb⋅ft (450 N·m),Rare
463,2013 Mercedes-Benz A 45 AMG,Germany,6.9L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 42%/58%,622 bhp (464 kW), 539 lb⋅ft (731 N·m),Legendary
464,1998 Mercedes-Benz AMG CLK GTR,Germany,6.9L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 42%/58%,622 bhp (464 kW), 539 lb⋅ft (731 N·m),Legendary
465,1998 Mercedes-Benz AMG CLK GTR,Germany,6.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 53%/47%,379 bhp (283 kW), 417 lb⋅ft (565 N·m),Common
466,1987 Mercedes-Benz AMG Hammer Coupe,Germany,6.2L Naturally-Aspirated V8,Front-Engined,7-speed Transmission, 54%/46%,510 bhp (380 kW), 457 lb⋅ft (620 N·m),Rare
467,2012 Mercedes-Benz C 63 AMG Coup%C3%A9 Black Series,Germany,5.5L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 55%/45%,577 bhp (430 kW), 590 lb⋅ft (800 N·m),Rare
468,2013 Mercedes-Benz E 63 AMG (2013),Germany,5.5L Twin-Turbocharged V8,Front-Engined,7-speed Transmission, 47%/53%,536 bhp (400 kW), 560 lb⋅ft (760 N·m),Epic
469,2014 Mercedes-Benz G 63 AMG 6x6,Germany,6.0L Twin-Turbocharged V12,Front-Engined,7-speed Transmission, 55%/45%,603 bhp (450 kW), 737 lb⋅ft (1000 N·m),Rare
470,2013 Mercedes-Benz G 65 AMG,Germany,6.0L Twin-Turbocharged V12,Front-Engined,5-speed Transmission, 52%/48%,661 bhp (493 kW), 738 lb⋅ft (1001 N·m),Epic
471,2009 Mercedes-Benz SL 65 AMG Black Series,Germany,5.5L Naturally-Aspirated V8,Front-Engined,7-speed Transmission, 50%/50%,415 bhp (309 kW), 398 lb⋅ft (540 N·m),Rare
472,2012 Mercedes-Benz SLK 55 AMG,Germany,6.2L Naturally-Aspirated V8,Front-Engined,7-speed Transmission, 47%/53%,571 bhp (426 kW), 479 lb⋅ft (650 N·m),Epic
473,2011 Mercedes-Benz SLS AMG,Germany,7.1L Supercharged I6,Front-Engined,4-speed Transmission, 52%/48%,200 bhp (149 kW), 332 lb⋅ft (450 N·m),Legendary
474,1929 Mercedes-Benz Super Sport Kurz Barker Roadster,Germany,5.1L Turbocharged I4,Front-Engined,8-speed Transmission, 53%/47%,228 bhp (170 kW), 663 lb⋅ft (899 N·m),Rare
475,2014 Mercedes-Benz Unimog U5023,Germany,3.0L Supercharged V12,Front-Engined,5-speed Transmission, 50%/50%,483 bhp (360 kW), 361 lb⋅ft (490 N·m),Legendary
476,1939 Mercedes-Benz W154,Germany,2.3L Twin-Turbocharged I4,Front-Engined,7-speed Transmission, 52%/48%,188 bhp (140 kW), 332 lb⋅ft (450 N·m),Common
477,2018 Mercedes-Benz X-Class,United States of America,7.0L Naturally-Aspirated V8 (Super Cobra Jet),Front-Engined,4-speed Transmission, 57%/43%,370 bhp (276 kW), 450 lb⋅ft (610 N·m),Rare
478,1970 Mercury Cyclone Spoiler,United States of America,1.5L Naturally-Aspirated F4,Rear-Engined,4-speed Transmission, 35%/65%,60 bhp (45 kW), 82 lb⋅ft (111 N·m),Epic
479,1971 Meyers Manx,United States of America,1.5L Naturally-Aspirated F4,Rear-Engined,4-speed Transmission, 35%/65%,60 bhp (45 kW), 82 lb⋅ft (111 N·m),Epic
480,1971 Meyers Manx,United Kingdom,3.0L Naturally-Aspirated V6,Mid-Engined,5-speed Transmission, 45%/55%,410 bhp (306 kW), 270 lb⋅ft (366 N·m),Legendary
481,1986 MG Metro 6R4,United Kingdom,1.3L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 60%/40%,75 bhp (56 kW), 80 lb⋅ft (108 N·m),Rare
482,1965 MINI Cooper S,United Kingdom,1.3L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 60%/40%,75 bhp (56 kW), 80 lb⋅ft (108 N·m),Rare
483,1965 MINI Cooper S,United Kingdom,1.6L Turbocharged I4,Front-Engined,6-speed Transmission, 62%/38%,208 bhp (155 kW), 192 lb⋅ft (260 N·m),Common
484,2009 MINI John Cooper Works,United Kingdom,2.0L Turbocharged I4,Front-Engined,8-speed Transmission, 58%/42%,228 bhp (170 kW), 258 lb⋅ft (350 N·m),Common
485,2018 MINI John Cooper Works Countryman All4,United Kingdom,1.6L Turbocharged I4,Front-Engined,6-speed Transmission, 61%/39%,215 bhp (160 kW), 206 lb⋅ft (280 N·m),Rare
486,2012 MINI John Cooper Works GP (2012),United Kingdom,2.0L Turbocharged I4,Front-Engined,8-speed Transmission, 64%/36%,302 bhp (225 kW), 332 lb⋅ft (450 N·m),Rare
487,2021 MINI John Cooper Works GP (2021),United Kingdom,3.0L Twin-Turbocharged I6,Front-Engined,6-speed Transmission, 55%/45%,307 bhp (229 kW), 516 lb⋅ft (700 N·m),Epic
488,2014 MINI X-Raid All4 Racing Countryman,United Kingdom,3.0L Twin-Turbocharged I6,Front-Engined,6-speed Transmission, 58%/42%,340 bhp (254 kW), 590 lb⋅ft (800 N·m),Epic
489,2018 MINI X-Raid John Cooper Works Buggy,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 59%/41%,210 bhp (157 kW), 214 lb⋅ft (290 N·m),Common
490,1995 Mitsubishi Eclipse GSX,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 58%/42%,237 bhp (177 kW), 224 lb⋅ft (304 N·m),Rare
491,1992 Mitsubishi Galant VR-4,Japan,3.0L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 61%/39%,320 bhp (239 kW), 315 lb⋅ft (427 N·m),Common
492,1997 Mitsubishi GTO,Japan,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 60%/40%,286 bhp (213 kW), 289 lb⋅ft (392 N·m),Rare
493,2006 Mitsubishi Lancer Evolution IX MR,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 58%/42%,280 bhp (209 kW), 300 lb⋅ft (407 N·m),Rare
494,1999 Mitsubishi Lancer Evolution VI GSR,Japan,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 60%/40%,277 bhp (207 kW), 295 lb⋅ft (400 N·m),Rare
495,2004 Mitsubishi Lancer Evolution VIII MR,Japan,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 60%/40%,305 bhp (227 kW), 314 lb⋅ft (426 N·m),Rare
496,2008 Mitsubishi Lancer Evolution X GSR,Japan,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 60%/40%,305 bhp (227 kW), 314 lb⋅ft (426 N·m),Rare
497,2008 Mitsubishi Lancer Evolution X GSR,Japan,2.6L Turbocharged I4,Front-Engined,5-speed Transmission, 53%/47%,188 bhp (140 kW), 233 lb⋅ft (316 N·m),Rare
498,1988 Mitsubishi Starion ESI-R,United Kingdom,2.0L Naturally-Aspirated V2,Front-Engined,5-speed Transmission, 61%/39%,82 bhp (61 kW), 103 lb⋅ft (140 N·m),Common
499,2014 Morgan 3 Wheeler,United Kingdom,0.8L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 58%/42%,34 bhp (25 kW), 44 lb⋅ft (60 N·m),Common
500,1965 Morris Mini-Traveller,United Kingdom,1.0L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 52%/48%,37 bhp (28 kW), 48 lb⋅ft (65 N·m),Common
501,1958 Morris Minor 1000,United Kingdom,1.0L Naturally-Aspirated I4,Front-Engined,4-speed Transmission, 52%/48%,37 bhp (28 kW), 48 lb⋅ft (65 N·m),Common
502,1958 Morris Minor 1000,United Kingdom,0.8L Naturally-Aspirated I4,Front-Engined,info_not_found, 52%/48%,29 bhp (22 kW), 40 lb⋅ft (54 N·m),Common
503,1953 Morris Minor Series II Traveler,United States of America,7.0L Naturally-Aspirated V8,Mid-Engined,6-speed Transmission, 43%/57%,520 bhp (388 kW), 504 lb⋅ft (683 N·m),Rare
504,2006 Mosler MT900 GT3,United States of America,7.0L Supercharged V8,Mid-Engined,6-speed Transmission, 40%/60%,530 bhp (395 kW), 515 lb⋅ft (698 N·m),Epic
505,2010 Mosler MT900S,United Kingdom,24.0L Naturally-Aspirated W12,Front-Engined,3-speed Transmission, 54%/46%,564 bhp (421 kW), 1249 lb⋅ft (1693 N·m),Legendary
506,1933 Napier Napier-Railton,Japan,2.4L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 53%/47%,155 bhp (116 kW), 160 lb⋅ft (217 N·m),Common
507,1993 Nissan 240SX SE,Japan,3.7L Naturally-Aspirated V6,Front-Engined,6-speed Transmission, 53%/47%,332 bhp (248 kW), 270 lb⋅ft (366 N·m),Common
508,2010 Nissan 370Z,Japan,3.5L Naturally-Aspirated V6,Front-Engined,6-speed Transmission, 53%/47%,287 bhp (214 kW), 273 lb⋅ft (370 N·m),Common
509,2003 Nissan Fairlady Z,Japan,3.5L Naturally-Aspirated V6,Front-Engined,6-speed Transmission, 53%/47%,287 bhp (214 kW), 273 lb⋅ft (370 N·m),Common
510,2003 Nissan Fairlady Z,Japan,2.0L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 51%/49%,160 bhp (119 kW), 133 lb⋅ft (180 N·m),Epic
511,1969 Nissan Fairlady Z 432,Japan,3.0L Twin-Turbocharged V6,Front-Engined,5-speed Transmission, 54%/46%,276 bhp (206 kW), 283 lb⋅ft (384 N·m),Common
512,1994 Nissan Fairlady Z Version S Twin Turbo,Japan,3.8L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 54%/46%,565 bhp (421 kW), 467 lb⋅ft (633 N·m),Rare
513,2017 Nissan GT-R (2017),Japan,3.8L Twin-Turbocharged V6,Front-Engined,6-speed Transmission, 55%/45%,542 bhp (404 kW), 466 lb⋅ft (632 N·m),Rare
514,2012 Nissan GT-R Black Edition,Japan,2.6L Twin-Turbocharged I6,Front-Engined,5-speed Transmission, 54%/46%,300 bhp (224 kW), 275 lb⋅ft (373 N·m),Legendary
515,1995 Nissan Nismo GT-R LM,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 62%/38%,227 bhp (169 kW), 209 lb⋅ft (283 N·m),Rare
516,1991 Nissan Pulsar GTI-R,Japan,3.5L Naturally-Aspirated V6,Front-Engined,6-speed Transmission, 51%/49%,268 bhp (200 kW), 265 lb⋅ft (359 N·m),Epic
517,2004 Nissan Pickup 23 Rally Raid,Japan,3.5L Twin-Turbocharged V8,Mid-Engined,5-speed Transmission, 42%/58%,550 bhp (410 kW), 471 lb⋅ft (639 N·m),Legendary
518,1998 Nissan R390,Japan,3.3L Turbocharged I6,Front-Engined,5-speed Transmission, 58%/42%,108 bhp (81 kW), 188 lb⋅ft (255 N·m),Common
519,1985 Nissan Safari Turbo,Japan,1.6L Turbocharged I4,Front-Engined,6-speed Transmission, 61%/39%,188 bhp (140 kW), 177 lb⋅ft (240 N·m),Rare
520,2018 Nissan Sentra Nismo,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 55%/45%,202 bhp (151 kW), 202 lb⋅ft (274 N·m),Common
521,1992 Nissan Silvia CLUB K%27s,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 54%/46%,217 bhp (162 kW), 202 lb⋅ft (274 N·m),Common
522,1994 Nissan Silvia K%27s,Japan,2.0L Turbocharged I4,Front-Engined,5-speed Transmission, 54%/46%,217 bhp (162 kW), 202 lb⋅ft (274 N·m),Common
523,1998 Nissan Silvia K%27s AERO,Japan,2.0L Turbocharged I4,Front-Engined,6-speed Transmission, 51%/49%,250 bhp (186 kW), 203 lb⋅ft (275 N·m),Common
524,2000 Nissan Silvia Spec-R,Japan,2.0L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 54%/46%,160 bhp (119 kW), 133 lb⋅ft (180 N·m),Rare
525,1971 Nissan Skyline 2000GT-R,Japan,2.6L Twin-Turbocharged I6,Front-Engined,5-speed Transmission, 58%/42%,276 bhp (206 kW), 261 lb⋅ft (354 N·m),Rare
526,1993 Nissan Skyline GT-R V-Spec (1993),Japan,2.6L Twin-Turbocharged I6,Front-Engined,5-speed Transmission, 56%/44%,278 bhp (207 kW), 271 lb⋅ft (367 N·m),Rare
527,1997 Nissan Skyline GT-R V-Spec (1997),Japan,2.6L Twin-Turbocharged I6,Front-Engined,6-speed Transmission, 57%/43%,327 bhp (244 kW), 293 lb⋅ft (397 N·m),Rare
528,2002 Nissan Skyline GT-R V-Spec II,Japan,2.0L Turbocharged I6,Front-Engined,5-speed Transmission, 52%/48%,206 bhp (154 kW), 181 lb⋅ft (245 N·m),Common
529,1987 Nissan Skyline GTS-R (R31),Japan,2.0L Naturally-Aspirated I6,Front-Engined,5-speed Transmission, 55%/45%,158 bhp (118 kW), 130 lb⋅ft (176 N·m),Epic
530,1973 Nissan Skyline H/T 2000GT-R,Japan,5.0L Turbocharged V8,Front-Engined,6-speed Transmission, 57%/43%,310 bhp (231 kW), 555 lb⋅ft (752 N·m),Common
531,2016 Nissan TITAN Warrior Concept,United Kingdom,4.4L Twin-Turbocharged V8,Mid-Engined,6-speed Transmission, 40%/60%,650 bhp (485 kW), 605 lb⋅ft (820 N·m),Epic
532,2010 Noble M600,Germany,2.4L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 55%/45%,275 bhp (205 kW), 221 lb⋅ft (300 N·m),Rare
533,1984 Opel Manta 400,Italy,6.0L Twin-Turbocharged V12,Mid-Engined,7-speed Transmission, 44%/56%,740 bhp (552 kW), 737 lb⋅ft (1000 N·m),Legendary
534,2016 Pagani Huayra BC,Italy,6.0L Twin-Turbocharged V12,Mid-Engined,7-speed Transmission, 44%/56%,740 bhp (552 kW), 737 lb⋅ft (1000 N·m),Legendary
535,2016 Pagani Huayra BC,Italy,7.3L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 47%/53%,678 bhp (506 kW), 575 lb⋅ft (780 N·m),Legendary
536,2009 Pagani Zonda Cinque Roadster,Italy,7.3L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 47%/53%,678 bhp (506 kW), 575 lb⋅ft (780 N·m),Legendary
537,2009 Pagani Zonda Cinque Roadster,Italy,6.0L Naturally-Aspirated V12,Mid-Engined,6-speed Transmission, 46%/54%,739 bhp (551 kW), 523 lb⋅ft (710 N·m),Legendary
538,2010 Pagani Zonda R,United Kingdom,0.048L Naturally-Aspirated I1,Mid-Engined,3-speed Transmission, 50%/50%,4 bhp (3 kW), 6 lb⋅ft (8 N·m),Legendary
539,1962 Peel P50,United Kingdom,0.048L Naturally-Aspirated I1,Front-Engined,3-speed Transmission, 50%/50%,4 bhp (3 kW), 6 lb⋅ft (8 N·m),Rare
540,1965 Peel Trident,United States of America,2.3L Naturally-Aspirated I4,Rear-Engined,6-speed Transmission, 45%/55%,196 bhp (146 kW), 190 lb⋅ft (258 N·m),Rare
541,2011 Penhall The Cholla,France,1.3L Naturally-Aspirated I4,Front-Engined,5-speed Transmission, 65%/35%,99 bhp (74 kW), 87 lb⋅ft (118 N·m),Rare
542,1991 Peugeot 205 Rallye,France,1.8L Turbocharged I4,Mid-Engined,5-speed Transmission, 45%/55%,200 bhp (149 kW), 188 lb⋅ft (255 N·m),Legendary
543,1984 Peugeot 205 T16,France,2.0L Naturally-Aspirated I4,Front-Engined,6-speed Transmission, 58%/42%,280 bhp (209 kW), 184 lb⋅ft (249 N·m),Rare
544,2007 Peugeot 207 Super 2000,United States of America,6.3L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 56%/44%,300 bhp (224 kW), 400 lb⋅ft (542 N·m),Rare
545,1968 Plymouth Barracuda Formula-S,United States of America,7.0L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 58%/42%,425 bhp (317 kW), 490 lb⋅ft (664 N·m),Epic
546,1971 Plymouth Cuda 426 HEMI,United States of America,5.7L Naturally-Aspirated V8,Front-Engined,3-speed Transmission, 57%/43%,305 bhp (227 kW), 370 lb⋅ft (502 N·m),Rare
547,1958 Plymouth Fury,United States of America,1.0L Naturally-Aspirated I2,Rear-Engined,2-speed Transmission, 45%/55%,110 bhp (82 kW), 70 lb⋅ft (95 N·m),Common
548,2015 Polaris RZR XP 1000 EPS,United States of America,6.6L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 58%/42%,201 bhp (150 kW), 325 lb⋅ft (441 N·m),Rare
549,1977 Pontiac Firebird Trans Am (1977),United States of America,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 57%/43%,216 bhp (161 kW), 315 lb⋅ft (427 N·m),Common
550,1987 Pontiac Firebird Trans Am GTA,United States of America,5.7L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 57%/43%,216 bhp (161 kW), 315 lb⋅ft (427 N·m),Common
551,1987 Pontiac Firebird Trans Am GTA,United States of America,7.5L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 58%/42%,372 bhp (277 kW), 480 lb⋅ft (651 N·m),Common
552,1973 Pontiac Firebird Trans Am SD-455,United States of America,6.4L Naturally-Aspirated V8,Front-Engined,4-speed Transmission, 58%/42%,360 bhp (268 kW), 424 lb⋅ft (575 N·m),Common
553,1965 Pontiac GTO (1965),Germany,4.9L Naturally-Aspirated F12,Mid-Engined,5-speed Transmission, 36%/64%,601 bhp (448 kW), 415 lb⋅ft (563 N·m),Legendary
554,1970 Porsche 3 917 LH,Germany,4.5L Naturally-Aspirated F12,Mid-Engined,5-speed Transmission, 36%/64%,601 bhp (448 kW), 415 lb⋅ft (563 N·m),Legendary
555,1971 Porsche 23 917/20,Germany,3.6L Naturally-Aspirated F6,Rear-Engined,5-speed Transmission, 42%/58%,325 bhp (242 kW), 287 lb⋅ft (389 N·m),Epic
556,1989 Porsche 65 Rothsport Racing 911 %22Desert Flyer%22,Germany,2.8L Twin-Turbocharged F6,Rear-Engined,6-speed Transmission, 44%/56%,394 bhp (294 kW), 320 lb⋅ft (434 N·m),Legendary
557,1986 Porsche 185 959 Prodrive Rally Raid,Germany,1.6L Naturally-Aspirated F4,Rear-Engined,4-speed Transmission, 45%/55%,75 bhp (56 kW), 86 lb⋅ft (117 N·m),Epic
558,1959 Porsche 356 A 1600 Super,Germany,2.3L Naturally-Aspirated F4,Rear-Engined,5-speed Transmission, 41%/59%,220 bhp (164 kW), 181 lb⋅ft (245 N·m),Epic
559,1964 Porsche 356 C Cabriolet Emory Special,Germany,1.5L Naturally-Aspirated F4,Mid-Engined,5-speed Transmission, 48%/52%,109 bhp (81 kW), 95 lb⋅ft (129 N·m),Legendary
560,1955 Porsche 550A Spyder,Germany,2.5L Turbocharged F4,Mid-Engined,7-speed Transmission, 44%/56%,361 bhp (269 kW), 317 lb⋅ft (430 N·m),Epic
561,2018 Porsche 718 Cayman GTS,Germany,4.0L Naturally-Aspirated F6,Rear-Engined,6-speed Transmission, 42%/58%,431 bhp (321 kW), 315 lb⋅ft (427 N·m),Epic
562,1995 Porsche 911 Carrera 2 by Gunther Werks,Germany,2.7L Naturally-Aspirated F6,Rear-Engined,5-speed Transmission, 41%/59%,207 bhp (154 kW), 188 lb⋅ft (255 N·m),Legendary
563,1973 Porsche 911 Carrera RS,Germany,3.0L Twin-Turbocharged F6,Rear-Engined,8-speed Transmission, 45%/55%,444 bhp (331 kW), 391 lb⋅ft (530 N·m),Rare
564,2019 Porsche 911 Carrera S,Germany,3.2L Twin-Turbocharged F6,Mid-Engined,6-speed Transmission, 48%/52%,536 bhp (400 kW), 443 lb⋅ft (600 N·m),Legendary
565,1998 Porsche 911 GT1 Strassenversion,Germany,3.6L Twin-Turbocharged F6,Rear-Engined,6-speed Transmission, 38%/62%,424 bhp (316 kW), 398 lb⋅ft (540 N·m),Epic
566,1995 Porsche 911 GT2 (1995),Germany,3.6L Twin-Turbocharged F6,Rear-Engined,6-speed Transmission, 39%/61%,611 bhp (456 kW), 516 lb⋅ft (700 N·m),Epic
567,2012 Porsche 911 GT2 RS (2012),Germany,3.8L Twin-Turbocharged F6,Rear-Engined,7-speed Transmission, 40%/60%,691 bhp (515 kW), 553 lb⋅ft (750 N·m),Epic
568,2018 Porsche 911 GT2 RS (2018),Germany,3.6L Naturally-Aspirated F6,Rear-Engined,6-speed Transmission, 38%/62%,381 bhp (284 kW), 284 lb⋅ft (385 N·m),Rare
569,2004 Porsche 911 GT3 (2004),Germany,4.0L Naturally-Aspirated F6,Rear-Engined,7-speed Transmission, 39%/61%,493 bhp (368 kW), 339 lb⋅ft (460 N·m),Epic
570,2016 Porsche 911 GT3 RS (2016),Germany,4.0L Naturally-Aspirated F6,Rear-Engined,7-speed Transmission, 39%/61%,514 bhp (383 kW), 346 lb⋅ft (469 N·m),Epic
571,2019 Porsche 911 GT3 RS (2019),Germany,4.0L Naturally-Aspirated F6,Rear-Engined,7-speed Transmission, 39%/61%,514 bhp (383 kW), 346 lb⋅ft (469 N·m),Epic
572,2019 Porsche 911 GT3 RS (2019),Germany,4.0L Naturally-Aspirated F6,Rear-Engined,6-speed Transmission, 40%/60%,493 bhp (368 kW), 339 lb⋅ft (460 N·m),Epic
573,2012 Porsche 911 GT3 RS 4.0,Germany,3.9L Naturally-Aspirated F6,Rear-Engined,6-speed Transmission, 38%/62%,493 bhp (368 kW), 317 lb⋅ft (430 N·m),Epic
574,1990 Porsche 911 reimagined by Singer - DLS,Germany,4.0L Naturally-Aspirated F6,Rear-Engined,6-speed Transmission, 39%/61%,503 bhp (375 kW), 346 lb⋅ft (469 N·m),Rare
575,2019 Porsche 911 Speedster,Germany,3.8L Naturally-Aspirated F6,Rear-Engined,6-speed Transmission, 38%/62%,408 bhp (304 kW), 310 lb⋅ft (420 N·m),Epic
576,2010 Porsche 911 Sport Classic,Germany,3.3L Turbocharged F6,Rear-Engined,4-speed Transmission, 40%/60%,296 bhp (221 kW), 304 lb⋅ft (412 N·m),Epic
